order_id,amount,device,is_fraud
fd847d1f-cd3b-4398-a0c2-21383de9071c,407.1,desktop,0
76668cc9-6430-473f-bec0-096635ca96ec,171.92,desktop,0
73e309d1-b7bc-486b-bf33-a0ab63358de5,203.89,desktop,0
38ab35ec-41cd-4782-afbc-4755e0fc9fdf,309.07,desktop,0
c4b41b9b-dc4c-4713-97ef-55858424eaf4,426.66,desktop,0
7bd5cc27-c439-4b2e-b966-15145076ce5e,135.01,mobile,0
b6538a57-0ae1-4481-b28c-897084a7e2e7,279.82,mobile,0
e7cbe934-5191-48c2-91a0-60e65980b9f7,95.13,mobile,0
dcb90ed0-da63-4b8c-8544-7135043ab621,99.72,mobile,0
9d2157b3-1ac3-407b-9482-c11fc9dcaa54,494.01,desktop,0
fe78b41a-4ee5-4c8b-85ab-fea4eb418f10,476.7,mobile,0
498501aa-f68b-4ce3-82cd-eead8245aeb8,474.57,desktop,0
7d6dcdd2-1514-4830-ae04-967782e77542,321.86,desktop,0
057978c8-cc0b-4cc6-819a-11f8f1457feb,339.27,mobile,0
547eb4ae-d4ee-4c2b-a3e0-ff18f27c133d,80.75,desktop,0
f7737b47-2e3e-462f-9bc5-97f353ba79ca,498.7,mobile,0
4d7ff259-19b7-4e62-88c1-ea8f02b73344,75.23,desktop,0
0cc7b399-ef90-47ff-a055-488be1ee3128,84.58,desktop,0
e5c7f374-5c3b-41d4-a777-dad7accadfb3,241.68,mobile,0
4c49f333-5736-4bd9-8b3f-ab7172ec6979,498.73,mobile,0
cdbf57c6-d8fa-4bc0-9089-ee5711f6959d,21.04,desktop,0
8955627e-5816-41a0-98b2-218a5f55bbbc,36.36,mobile,0
027367e8-8dff-4e07-a7f6-61581450f72f,196.9,desktop,0
e27fe4d3-2870-42c8-8e52-e09e62119709,229.7,desktop,0
81245695-2455-468b-895b-b27a6041b530,307.57,mobile,0
6a07cf22-5edb-4a21-9cf3-ea34547cd36d,465.79,mobile,0
cf0024f3-d502-4359-84a9-820a8d128cb5,99.44,desktop,0
4c8b7b66-0b8c-4d9b-9480-98e670b88488,241.13,desktop,0
ccc788b7-291b-47aa-8e71-a1c329563ed9,447.71,mobile,0
c852a8f4-d383-4fa3-8351-de6297d7d633,95.22,desktop,0
836425d3-372e-4c5a-bd9e-0dfb3ba345a4,454.02,desktop,0
84a226a1-95ad-4d1a-ae7d-53b669ed59f5,420.86,desktop,0
c4d93cf6-cf78-42f5-b6ac-d96fe2ea3c61,142.15,desktop,0
42e9760c-8904-4041-a73d-e3bc104bcf37,408.34,desktop,0
55db40f1-560a-4862-acfc-b248406de5fd,228.31,desktop,0
56f1968f-1ad4-4ae8-a0a2-8bb1c1667508,288.18,desktop,0
e4e87d3d-6a62-4045-8e44-5f2c64644a2c,290.05,desktop,0
ac2ddafa-2186-4b45-b742-0ba66464097d,249.33,desktop,0
9f8d4909-0247-45f0-9390-ac1d618f3ce6,221.16,desktop,0
51e76e34-b54c-4b93-ae18-612850ae900e,310.97,desktop,0
164fc3a8-6721-4b7e-8071-3fe2ffe4ab50,389.55,mobile,1
a4445333-70be-46b3-aa28-bc1839eccfa2,302.06,mobile,0
f2796e87-ad72-4282-ab9a-1f19be51a28b,153.91,desktop,0
66b2d8c7-eaa2-47fe-b741-5db86727085f,23.24,mobile,0
779f74b8-77c4-40d0-943d-02ac57030ea8,75.37,desktop,0
b56f6f30-bb58-409d-9f13-b1ab86120940,71.58,mobile,0
9594cf93-65c8-4666-874b-4275d9475d09,20.68,mobile,0
7e0ca554-75c6-40ed-8e12-ff6758c7a2e6,51.3,mobile,0
3fe59044-7bc2-4e70-931e-bcbe84e9b1ab,69.91,mobile,0
30dad9f1-4272-41ce-be5b-8980af2df81e,223.52,desktop,0
deed55f3-35dc-4d5c-9e0f-9ee31ce7be97,286.98,desktop,0
7cd92a0e-ffdf-4e2f-988c-b456cecf5d6f,468.39,mobile,0
c1402042-f594-4a77-8df9-fec6a542e54a,387.58,mobile,0
78fef5ea-e299-42fa-8a71-d4ce24d1b28c,176.79,mobile,0
c7bf6f2c-bed0-4adc-9b9c-a125fa4945b5,210.76,desktop,0
9dec4115-dbf9-4be0-9a59-6a2bf46c1e09,369.11,desktop,0
12f9073a-4c1a-41b8-b2aa-17773ce0f418,120.12,desktop,1
3696e283-ce77-46f3-a98a-4f25bca46465,130.82,desktop,0
4065f0d6-cf20-4b77-be08-dc72806eda65,72.32,desktop,0
d01d8e12-718b-45ee-a2f0-247bba1f3f60,455.46,mobile,0
5b379cc3-8669-44df-926b-d9f65ce7745e,464.36,desktop,0
c49c9e00-0f29-4fee-bd05-d49fa2041381,435.66,desktop,0
63826a50-da9b-4bfa-980f-90dc0f842b6e,451.17,mobile,0
87e24dc7-8f0a-498a-ad6a-5845d9bc9df6,374.29,mobile,0
610b4aa4-e6e8-4b32-8381-14338e01f089,304.05,desktop,0
eaca5733-1752-469f-8c3c-4b0a5f0123df,70.82,mobile,0
8cfcdedc-2ba3-4fd9-8d96-abf7835695c8,165.34,desktop,0
67f48811-c80d-4925-9d8a-e4e922f110f1,424.47,desktop,0
1ab0c376-5bbc-4db1-b575-a9a4cba64022,77.38,desktop,0
b522b021-faa5-4d57-8f23-7920c803e74e,207.44,desktop,0
04207a38-cd48-45c2-a247-d200d0f707bb,169.14,desktop,0
3fd50be2-ddbb-46d7-b81d-f273e13c6d93,123.54,mobile,0
27689482-6afc-40ae-b15f-fa6088b66465,10.34,desktop,0
495e5f71-d3e0-47b1-a11a-73c5d28d9f96,483.73,desktop,0
d0c7a870-1bf6-4448-85c7-d3dcf2294117,499.73,desktop,0
0d556a63-d7af-4ac7-9bde-9372b489077d,318.92,mobile,0
28e59fbf-0123-45bc-bbe5-be9e75951bed,267.17,mobile,0
aca91082-392a-4772-b9ab-aaa286cd6b35,325.45,mobile,0
3234c3c1-74a3-4e14-b251-ebd7f00205d2,246.94,desktop,0
8f40587a-592d-48b7-bb5b-af6d21411d7f,61.06,mobile,0
f9182759-fb0d-4328-8d0c-819164dfe4a8,301.3,desktop,0
a254f982-289d-4edf-8ab5-06a6b2a88b92,280.58,desktop,0
d7d35c7f-ac51-42db-a1d7-0832d0085074,100.65,mobile,0
4ed08666-0a11-4ce9-82b8-c315f56a048d,133.39,mobile,0
4cebb6d5-ab18-44fe-8249-64779b5ed2a6,372.63,mobile,0
9f4ef78e-a493-4be0-8d03-4286e021fd47,89.24,desktop,0
86c2d5db-a0b0-4c46-8124-b2860c2fed1b,304.56,desktop,0
158ac33a-7313-429a-ba1f-92c408694381,302.98,mobile,0
a25f0b2a-df66-46cd-8ac4-83239c17fc18,78.83,mobile,0
33c18b21-fc3d-41da-819b-7f8102b46a70,100.43,desktop,0
93ebf214-6202-47f2-8774-248bd47716cf,231.56,desktop,0
5b399e69-f1de-4348-82b3-6d2c9268b55c,497.03,mobile,0
17047be1-6ea7-4382-833b-fb8a1811b2df,342.88,desktop,0
f9d7c881-023a-40d6-8307-f891e0ffe6d4,465.12,mobile,0
67faf2d1-76d2-47a7-ab8b-6e2d32ef974a,236.66,mobile,0
cda20665-576b-40e5-855a-afcc7a58692c,306.92,mobile,0
ec3f4cf7-1dcd-4b17-9dc2-57dba3ea0a76,400.98,mobile,0
84791434-b8ab-45ec-bb1a-b2b7590e517d,34.24,desktop,0
5429af89-1510-4ab0-84cf-5125f5f0ffc2,229.44,desktop,0
2f012551-27d1-4b2b-9020-cb9265b9ca0e,459.43,desktop,0
74e880a3-007b-48e1-912d-b85b33708924,265.6,desktop,0
5d8da6aa-dfc7-4138-bf24-d8654a691701,293.61,mobile,0
fed4f13c-b371-422f-97fc-cefd7cf09f2c,88.71,desktop,0
03b5ff4f-429c-463b-bc98-7cfa1650b3e7,297.37,mobile,0
d3e5a683-bec1-4087-9750-263d54688c81,44.39,mobile,0
0f7a0617-02d3-43f1-9e7f-dacfcd14d10d,54.88,desktop,0
7ad6eb1b-6a68-4f2a-80e2-d3c00aea2226,481.29,desktop,0
11813352-e50b-49c6-bd13-8b517b61214d,205.8,desktop,0
751473f3-3336-4d27-88dd-dcbb4be1c1bf,261.05,desktop,0
23d90560-f331-4121-84af-2e80fad4747c,425.07,mobile,0
1cd2aa42-f5a5-4daa-afe5-1aeba3e17b34,354.68,mobile,0
6febc265-22f3-4e4d-94c7-acbcb82c2e41,283.23,mobile,0
dd2a7051-69b8-4e87-a9d8-765476859686,98.48,desktop,0
02464a7b-183d-4d0a-868a-ae4965188eed,422.44,desktop,0
a25da15b-7326-4d83-bc29-10c4c290a665,67.17,mobile,0
4fdb2154-d24f-41d4-a8ee-90e57133f98c,400.28,desktop,0
a5afe127-ae0d-4a2c-8d2e-756279d30df5,271.37,mobile,0
d3be0043-0934-41e8-90a6-9c434277a8a8,126.36,desktop,0
ad83a45f-55d6-4ead-a796-da69674f7a38,109.68,desktop,0
c982b5ba-f5e0-40fc-baa6-60ef81d168ec,143.35,mobile,0
db4b29c1-950c-4dbc-b62d-0e200e920db3,430.5,mobile,0
105ea604-8a97-4bfe-be7d-2460c16e6033,472.69,desktop,0
e8a85744-f222-4bfc-a938-67a769a469cc,422.94,desktop,0
33783c8a-8c83-4db9-9fd2-ab822f7b3325,394.03,mobile,0
036d82d2-baf7-41b8-906e-970cdcb1d214,384.44,mobile,0
3bfc402c-475b-48bf-954e-0cfb6223c471,382.6,mobile,0
cd73a607-0065-4be9-afe8-3e42ffdf59a8,189.93,mobile,0
3dac380e-c014-427e-b1f3-1134529e488a,275.08,mobile,0
8094b715-98f7-4b3e-9642-06b6d64f25ba,143.1,mobile,0
7c1bec1a-d207-46ca-b13e-551db504a680,394.1,mobile,0
528310f1-1591-4c57-a69e-7b894cd8482b,487.24,mobile,0
c89351f0-cd35-4cfb-93e0-a326aaedb0b6,387.67,mobile,0
0a54a8d6-d8c7-4d1e-8784-6e681b33e4d5,202.73,desktop,0
0a29ef1c-7b96-4921-ad09-97a7a8a41516,247.35,desktop,0
14a7a2a4-5114-4808-b260-b0b142169e56,68.26,mobile,0
0f0cdec6-2483-46f1-9212-ae7d8ff28646,385.42,desktop,0
7f9f80ad-12d0-4d45-ba56-5c26b688fef2,438.78,mobile,0
